序号,省级类,省级,地级类,地级,县级类,县级,地名,适宜性均值
1,省,海南省,地级市,三沙市,市辖区,西沙区,西沙区,0.0053
2,自治区,内蒙古自治区,盟,锡林郭勒盟,旗,阿巴嘎旗,阿巴嘎旗,0.0548
3,省,四川省,自治州,阿坝藏族羌族自治州,县,阿坝县,阿坝县,0.1489
4,省,黑龙江省,地级市,哈尔滨市,市辖区,阿城区,阿城区,0.4134
5,自治区,内蒙古自治区,盟,兴安盟,县级市,阿尔山市,阿尔山市,0.0621
6,自治区,新疆维吾尔自治区,自治州,克孜勒苏柯尔克孜自治州,县,阿合奇县,阿合奇县,0.0744
7,省,甘肃省,地级市,酒泉市,自治县,阿克塞哈萨克族自治县,阿克塞哈萨克族自治县,0.0138
8,自治区,新疆维吾尔自治区,地区,阿克苏地区,县级市,阿克苏市,阿克苏市,0.0694
9,自治区,新疆维吾尔自治区,自治州,克孜勒苏柯尔克孜自治州,县,阿克陶县,阿克陶县,0.0506
10,自治区,新疆维吾尔自治区,不统计,不统计,县级市,阿拉尔市,阿拉尔市,0.1331
11,自治区,新疆维吾尔自治区,自治州,博尔塔拉蒙古自治州,县级市,阿拉山口市,阿拉山口市,0.0928
12,自治区,内蒙古自治区,盟,阿拉善盟,旗,阿拉善右旗,阿拉善右旗,0.0334
13,自治区,内蒙古自治区,盟,阿拉善盟,旗,阿拉善左旗,阿拉善左旗,0.072
14,自治区,新疆维吾尔自治区,地区,阿勒泰地区,县级市,阿勒泰市,阿勒泰市,0.1093
15,自治区,内蒙古自治区,地级市,赤峰市,旗,阿鲁科尔沁旗,阿鲁科尔沁旗,0.2098
16,自治区,内蒙古自治区,地级市,呼伦贝尔市,旗,阿荣旗,阿荣旗,0.1658
17,自治区,新疆维吾尔自治区,自治州,克孜勒苏柯尔克孜自治州,县级市,阿图什市,阿图什市,0.096
18,自治区,新疆维吾尔自治区,地区,阿克苏地区,县,阿瓦提县,阿瓦提县,0.0615
19,省,黑龙江省,地级市,黑河市,市辖区,爱辉区,爱辉区,0.0939
20,省,黑龙江省,地级市,牡丹江市,市辖区,爱民区,爱民区,0.3592
21,省,河北省,地级市,廊坊市,市辖区,安次区,安次区,0.6315
22,省,黑龙江省,地级市,绥化市,县级市,安达市,安达市,0.3259
23,省,甘肃省,地级市,定西市,市辖区,安定区,安定区,0.3386
24,自治区,西藏自治区,地级市,那曲市,县,安多县,安多县,0.0133
25,省,江西省,地级市,吉安市,县,安福县,安福县,0.3063
26,省,河北省,地级市,保定市,县级市,安国市,安国市,0.488
27,省,湖南省,地级市,益阳市,县,安化县,安化县,0.3538
28,省,浙江省,地级市,湖州市,县,安吉县,安吉县,0.537
29,省,四川省,地级市,遂宁市,市辖区,安居区,安居区,0.5132
30,省,贵州省,自治州,黔西南布依族苗族自治州,县,安龙县,安龙县,0.4611
31,省,湖北省,地级市,孝感市,县级市,安陆市,安陆市,0.3778
32,省,甘肃省,地级市,兰州市,市辖区,安宁区,安宁区,0.5554
33,省,云南省,地级市,昆明市,县级市,安宁市,安宁市,0.4122
34,省,河北省,地级市,衡水市,县,安平县,安平县,0.466
35,省,山东省,地级市,潍坊市,县级市,安丘市,安丘市,0.4679
36,省,湖南省,地级市,郴州市,县,安仁县,安仁县,0.4085
37,省,陕西省,地级市,延安市,市辖区,安塞区,安塞区,0.4705
38,省,吉林省,自治州,延边朝鲜族自治州,县,安图县,安图县,0.2423
39,省,福建省,地级市,泉州市,县,安溪县,安溪县,0.4424
40,省,湖南省,地级市,常德市,县,安乡县,安乡县,0.3759
41,省,河北省,地级市,保定市,县,安新县,安新县,0.5701
42,省,河南省,地级市,安阳市,县,安阳县,安阳县,0.5008
43,省,江西省,地级市,南昌市,县,安义县,安义县,0.445
44,省,江西省,地级市,萍乡市,市辖区,安源区,安源区,0.6156
45,省,江西省,地级市,赣州市,县,安远县,安远县,0.3058
46,省,四川省,地级市,资阳市,县,安岳县,安岳县,0.4734
47,省,山西省,地级市,临汾市,县,安泽县,安泽县,0.3405
48,省,四川省,地级市,绵阳市,市辖区,安州区,安州区,0.436
49,省,黑龙江省,地级市,齐齐哈尔市,市辖区,昂昂溪区,昂昂溪区,0.352
50,自治区,西藏自治区,地级市,日喀则市,县,昂仁县,昂仁县,0.033
51,自治区,内蒙古自治区,地级市,赤峰市,旗,敖汉旗,敖汉旗,0.2959
52,特别行政区,澳门特别行政区,不统计,不统计,不统计,不统计,澳门特别行政区,0.1416
53,自治区,广西壮族自治区,地级市,贺州市,市辖区,八步区,八步区,0.4046
54,省,安徽省,地级市,淮南市,市辖区,八公山区,八公山区,0.6253
55,自治区,西藏自治区,地级市,昌都市,县,八宿县,八宿县,0.0761
56,自治区,新疆维吾尔自治区,地区,喀什地区,县,巴楚县,巴楚县,0.0573
57,省,湖北省,自治州,恩施土家族苗族自治州,县,巴东县,巴东县,0.3845
58,自治区,新疆维吾尔自治区,地级市,哈密市,自治县,巴里坤哈萨克自治县,巴里坤哈萨克自治县,0.045
59,自治区,内蒙古自治区,地级市,赤峰市,旗,巴林右旗,巴林右旗,0.224
60,自治区,内蒙古自治区,地级市,赤峰市,旗,巴林左旗,巴林左旗,0.2204
61,自治区,广西壮族自治区,地级市,河池市,自治县,巴马瑶族自治县,巴马瑶族自治县,0.2258
62,直辖市,重庆市,不统计,不统计,市辖区,巴南区,巴南区,0.5584
63,自治区,西藏自治区,地级市,那曲市,县,巴青县,巴青县,0.0308
64,省,四川省,自治州,甘孜藏族自治州,县,巴塘县,巴塘县,0.1019
65,省,黑龙江省,地级市,哈尔滨市,县,巴彦县,巴彦县,0.3293
66,自治区,西藏自治区,地级市,林芝市,市辖区,巴宜区,巴宜区,0.1127
67,省,四川省,地级市,巴中市,市辖区,巴州区,巴州区,0.4503
68,省,辽宁省,地级市,营口市,市辖区,鲅鱼圈区,鲅鱼圈区,0.4719
69,省,河北省,地级市,廊坊市,县级市,霸州市,霸州市,0.6489
70,省,陕西省,地级市,西安市,市辖区,灞桥区,灞桥区,0.6362
71,省,陕西省,地级市,安康市,县,白河县,白河县,0.299
72,自治区,新疆维吾尔自治区,地级市,克拉玛依市,市辖区,白碱滩区,白碱滩区,0.1462
73,自治区,西藏自治区,地级市,日喀则市,县,白朗县,白朗县,0.0943
74,省,海南省,不统计,不统计,自治县,白沙黎族自治县,白沙黎族自治县,0.117
75,省,陕西省,地级市,渭南市,县,白水县,白水县,0.3862
76,省,辽宁省,地级市,辽阳市,市辖区,白塔区,白塔区,0.6063
77,省,甘肃省,地级市,白银市,市辖区,白银区,白银区,0.3412
78,省,四川省,自治州,甘孜藏族自治州,县,白玉县,白玉县,0.0975
79,自治区,内蒙古自治区,地级市,包头市,市辖区,白云鄂博矿区,白云鄂博矿区,0.1524
80,省,河北省,地级市,邢台市,县,柏乡县,柏乡县,0.5409
81,自治区,新疆维吾尔自治区,地区,阿克苏地区,县,拜城县,拜城县,0.1293
82,省,黑龙江省,地级市,齐齐哈尔市,县,拜泉县,拜泉县,0.2218
83,自治区,西藏自治区,地级市,那曲市,县,班戈县,班戈县,0.0359
84,省,青海省,自治州,果洛藏族自治州,县,班玛县,班玛县,0.0596
85,省,安徽省,地级市,蚌埠市,市辖区,蚌山区,蚌山区,0.6658
86,省,安徽省,地级市,合肥市,市辖区,包河区,包河区,0.6012
87,省,广东省,地级市,深圳市,市辖区,宝安区,宝安区,0.363
88,直辖市,天津市,不统计,不统计,市辖区,宝坻区,宝坻区,0.6367
89,省,河南省,地级市,平顶山市,县,宝丰县,宝丰县,0.4533
90,省,黑龙江省,地级市,双鸭山市,县,宝清县,宝清县,0.2646
91,省,陕西省,地级市,延安市,市辖区,宝塔区,宝塔区,0.4284
92,省,四川省,地级市,雅安市,县,宝兴县,宝兴县,0.2178
93,省,江苏省,地级市,扬州市,县,宝应县,宝应县,0.4962
94,省,山西省,地级市,忻州市,县,保德县,保德县,0.4036
95,省,湖南省,自治州,湘西土家族苗族自治州,县,保靖县,保靖县,0.3736
96,省,湖北省,地级市,襄阳市,县,保康县,保康县,0.3396
97,省,海南省,不统计,不统计,自治县,保亭黎族苗族自治县,保亭黎族苗族自治县,0.2069
98,省,陕西省,地级市,西安市,市辖区,碑林区,碑林区,0.6112
99,省,黑龙江省,地级市,黑河市,县级市,北安市,北安市,0.1606
100,直辖市,重庆市,不统计,不统计,市辖区,北碚区,北碚区,0.5968
101,直辖市,天津市,不统计,不统计,市辖区,北辰区,北辰区,0.6947
102,省,四川省,地级市,绵阳市,自治县,北川羌族自治县,北川羌族自治县,0.2078
103,省,河北省,地级市,秦皇岛市,市辖区,北戴河区,北戴河区,0.6042
104,省,河南省,地级市,安阳市,市辖区,北关区,北关区,0.6001
105,省,湖南省,地级市,郴州市,市辖区,北湖区,北湖区,0.4501
106,省,黑龙江省,地级市,绥化市,市辖区,北林区,北林区,0.3241
107,自治区,广西壮族自治区,地级市,玉林市,县级市,北流市,北流市,0.306
108,省,浙江省,地级市,宁波市,市辖区,北仑区,北仑区,0.5801
109,省,辽宁省,地级市,朝阳市,县级市,北票市,北票市,0.3449
