序号,省级类,省级,地级类,地级,适宜性均值
1,自治区,新疆维吾尔自治区,地区,阿克苏地区,0.067
2,自治区,新疆维吾尔自治区,不统计,不统计,0.0511
3,自治区,内蒙古自治区,盟,阿拉善盟,0.0245
4,自治区,新疆维吾尔自治区,地区,阿勒泰地区,0.0634
5,自治区,西藏自治区,地区,阿里地区,0.0271
6,省,陕西省,地级市,安康市,0.2278
7,省,安徽省,地级市,安庆市,0.4975
8,省,贵州省,地级市,安顺市,0.5074
9,省,河南省,地级市,安阳市,0.4448
10,省,辽宁省,地级市,鞍山市,0.464
11,特别行政区,澳门特别行政区,不统计,不统计,0.1425
12,自治区,内蒙古自治区,地级市,巴彦淖尔市,0.0559
13,自治区,新疆维吾尔自治区,自治州,巴音郭楞蒙古自治州,0.017
14,省,四川省,地级市,巴中市,0.2773
15,省,吉林省,地级市,白城市,0.1759
16,省,海南省,不统计,不统计,0.2414
17,省,吉林省,地级市,白山市,0.29
18,省,甘肃省,地级市,白银市,0.1947
19,自治区,广西壮族自治区,地级市,百色市,0.1948
20,省,安徽省,地级市,蚌埠市,0.4541
21,自治区,内蒙古自治区,地级市,包头市,0.1152
22,省,陕西省,地级市,宝鸡市,0.2545
23,省,河北省,地级市,保定市,0.4367
24,省,云南省,地级市,保山市,0.2803
25,省,海南省,不统计,不统计,0.3477
26,自治区,广西壮族自治区,地级市,北海市,0.3676
27,直辖市,北京市,不统计,不统计,0.513
28,自治区,新疆维吾尔自治区,不统计,不统计,0.1136
29,省,辽宁省,地级市,本溪市,0.4429
30,省,贵州省,地级市,毕节市,0.3841
31,省,山东省,地级市,滨州市,0.4498
32,省,安徽省,地级市,亳州市,0.406
33,自治区,新疆维吾尔自治区,自治州,博尔塔拉蒙古自治州,0.1111
34,省,河北省,地级市,沧州市,0.4575
35,自治区,西藏自治区,地级市,昌都市,0.0992
36,自治区,新疆维吾尔自治区,自治州,昌吉回族自治州,0.0963
37,省,海南省,不统计,不统计,0.3064
38,省,湖南省,地级市,常德市,0.4282
39,省,江苏省,地级市,常州市,0.6776
40,省,辽宁省,地级市,朝阳市,0.3854
41,省,广东省,地级市,潮州市,0.3323
42,省,湖南省,地级市,郴州市,0.4475
43,省,四川省,地级市,成都市,0.3867
44,省,河北省,地级市,承德市,0.3452
45,省,海南省,不统计,不统计,0.4854
46,省,安徽省,地级市,池州市,0.4706
47,自治区,内蒙古自治区,地级市,赤峰市,0.2099
48,自治区,广西壮族自治区,地级市,崇左市,0.2001
49,省,安徽省,地级市,滁州市,0.4979
50,省,云南省,自治州,楚雄彝族自治州,0.2629
51,省,四川省,地级市,达州市,0.3402
52,省,云南省,自治州,大理白族自治州,0.3997
53,省,辽宁省,地级市,大连市,0.4091
54,省,黑龙江省,地级市,大庆市,0.23
55,省,山西省,地级市,大同市,0.2967
56,省,黑龙江省,地区,大兴安岭地区,0.0403
57,省,海南省,地级市,儋州市,0.3912
58,省,云南省,自治州,德宏傣族景颇族自治州,0.1195
59,省,四川省,地级市,德阳市,0.4004
60,省,山东省,地级市,德州市,0.4151
61,省,云南省,自治州,迪庆藏族自治州,0.1649
62,省,海南省,不统计,不统计,0.5428
63,省,甘肃省,地级市,定西市,0.2424
64,省,海南省,不统计,不统计,0.3306
65,省,广东省,地级市,东莞市,0.2693
66,省,山东省,地级市,东营市,0.4186
67,自治区,内蒙古自治区,地级市,鄂尔多斯市,0.15
68,省,湖北省,地级市,鄂州市,0.5663
69,省,湖北省,自治州,恩施土家族苗族自治州,0.3859
70,自治区,广西壮族自治区,地级市,防城港市,0.2076
71,省,广东省,地级市,佛山市,0.3784
72,省,福建省,地级市,福州市,0.3065
73,省,辽宁省,地级市,抚顺市,0.4287
74,省,江西省,地级市,抚州市,0.4015
75,省,辽宁省,地级市,阜新市,0.3339
76,省,安徽省,地级市,阜阳市,0.4631
