序号,省类型,省,适宜性均值
1,直辖市,北京市,0.5246
2,直辖市,天津市,0.5996
3,省,河北省,0.405
4,省,山西省,0.3416
5,自治区,内蒙古自治区,0.0955
6,省,辽宁省,0.3511
7,省,吉林省,0.2915
8,省,黑龙江省,0.1744
9,直辖市,上海市,0.5279
10,省,浙江省,0.4933
11,省,安徽省,0.4377
12,省,福建省,0.3761
13,省,江西省,0.3364
14,省,山东省,0.4789
15,省,河南省,0.3672
16,省,湖北省,0.3511
17,省,湖南省,0.3992
18,省,广东省,0.3499
19,自治区,广西壮族自治区,0.3308
20,省,海南省,0.3349
21,直辖市,重庆市,0.4251
22,省,四川省,0.2257
23,省,贵州省,0.4174
24,省,云南省,0.2562
25,自治区,西藏自治区,0.0511
26,省,陕西省,0.3391
27,省,甘肃省,0.1546
28,省,青海省,0.037
29,自治区,宁夏回族自治区,0.3091
30,自治区,新疆维吾尔自治区,0.0537
31,省,台湾省,0.183
32,特别行政区,香港特别行政区,0.2375
33,特别行政区,澳门特别行政区,0.2712
34,省,江苏省,0.5457
