序号,省类型,省,适宜性均值
1,直辖市,北京市,0.4944
2,直辖市,天津市,0.6085
3,省,河北省,0.4106
4,省,山西省,0.3902
5,自治区,内蒙古自治区,0.116
6,省,辽宁省,0.4053
7,省,吉林省,0.2978
8,省,黑龙江省,0.2077
9,直辖市,上海市,0.5598
10,省,浙江省,0.4981
11,省,安徽省,0.412
12,省,福建省,0.3924
13,省,江西省,0.3659
14,省,山东省,0.4811
15,省,河南省,0.3734
16,省,湖北省,0.366
17,省,湖南省,0.3989
18,省,广东省,0.3671
19,自治区,广西壮族自治区,0.3475
20,省,海南省,0.3279
21,直辖市,重庆市,0.4447
22,省,四川省,0.2477
23,省,贵州省,0.4505
24,省,云南省,0.262
25,自治区,西藏自治区,0.0445
26,省,陕西省,0.3728
27,省,甘肃省,0.1686
28,省,青海省,0.0482
29,自治区,宁夏回族自治区,0.317
30,自治区,新疆维吾尔自治区,0.0642
31,省,台湾省,0.1663
32,特别行政区,香港特别行政区,0.2286
33,特别行政区,澳门特别行政区,0.1416
34,省,江苏省,0.5388
