标题,作者,来源,发表时间,链接,摘要,爬取时间
数字新质生产力的减污降碳协同效应,邵娜娜,管理现代化,2025-10-31 15:01,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaFEdW3gIbvLfA5WOKG-qvhAQh6QYahtca6PCZfP5D_GOdFHTFmMIea8TrXIZKaLAogLry70lBMfe1yZISuVlCIBHLB7E2QUWpJWeJBLxViQv75rkjs_tR1zlCPYqvANl-eMn9FExU01BKAlSm2QW-P8Ckf_gYu45FBYBcEJdUPgBw==&uniplatform=NZKPT&language=CHS,在“双碳”目标引领下，协同推进减污降碳已成为我国经济社会全面绿色转型的必然选择。基于2013-2023年中国282个地级及以上城市的面板数据，综合运用双向固定效应模型、中介效应模型、调节效应模型等多种计量方法进行实证分析，深入探究数字新质生产力对减污降碳协同效应的影响及作用机制。研究结果表明，数字新质生产力显著正向促进减污降碳协同效应，且在中心城市和非资源型城市的作用更为突出，其作用机制体现为：通过优化能源消费结构和推动产业结构升级两条路径间接增强协同效应；同时，命令型环境规制能有效强化这一促进作用。据此，建议因地制宜发展数字新质生产力、分类施策畅通减污降碳路径，并强化命令型环境规制执行效能，以充分发挥其驱动经济社会绿色转型的关键作用。,2025-11-03 14:29:38
人工智能对区域减污降碳协同增效的影响研究,朱俏俏;唐士博;程安妮,资源与产业,2025-10-31 14:55,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGGg6KnTDkoN4R4gXM42HVfpWVyf4KXL7jKLOPKuUrBKp1-1f8qMbFIUM6888-KTopGT-HI6m-zRX8dFxWY6deNmaDIGd8Y-H86qYmCoclSV75-GO92Pcv54ylM3p9ArZuJg4sfzPuhPSoTH8Y9xxbqw7A4logrlt7f2eJssDFuKQ==&uniplatform=NZKPT&language=CHS,推进区域减污降碳协同增效是保障“双碳”目标有效落实的重要举措，更是统筹生态环境保护与高质量发展的关键路径。在全球绿色转型的浪潮下，人工智能（AI）凭借其强大的数据挖掘、精准模拟与智能优化能力，正加速成为驱动能源结构向清洁低碳转型、赋能绿色技术迭代创新的核心引擎。研究人工智能如何影响减污降碳协同增效具有重要的现实意义。基于2012—2022年中国30个省份的面板数据，首先分别利用耦合协调度模型和主成分分析法测算各地区减污降碳协同增效和人工智能发展水平；然后通过回归模型实证检验了人工智能对中国区域减污降碳协同增效的影响效应以及公众环境关注度、人力资本水平和绿色金融对该效应的调节作用；最后基于资源禀赋程度展开异质性分析，并进一步使用环境回弹模型测度各省份碳回弹与污染物回弹强度。研究发现：1）人工智能技术发展能显著增强减污降碳协同增效，且通过了一系列稳健性检验。2）人工智能推动的能源消费结构低碳化转型、产业协同集聚和资源错配矫正是驱动减污降碳协同增效的主要作用路径。此外，公众环境关注度、人力资本水平和绿色金融水平是重要的调节因素。3）进一步研究发现，同非资源型地区相比人工智能赋能减污降碳协同增效效应在资源型地区中更弱。从环境回弹测度来看，人工智能赋能减污降碳协同增效存在时空差异。人工智能作为赋能减污降碳协同增效的重要技术手段，未来需加强创新技术在环境治理中的应用深度，加速能源消费结构低碳化转型，缩小各省份间人工智能发展水平差距，同时强化政府监管职能。该研究不仅丰富了人工智能驱动减污降碳协同增效的经验证据，还对加速科技革命，优化能源结构，促进产业绿色转型，实施适度的环境治理政策提出了有益的建议。,2025-11-03 14:29:38
服务贸易创新发展试点政策对城市减污降碳的影响研究,刘京华;吴婷婷;陈书麟,哈尔滨商业大学学报(社会科学版),2025-10-30 14:33,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaGGg6KnTDkoN4R4gXM42HVfpWVyf4KXL7hYSl4bRcGdnJeAqa8x5wgQEUZy8InSpBIcjPx1-_19FrbLOm-IwPIEW5NZAfFCzJbib3OH8dqRaE66afxU2laKfKs4PD279X8rYq7QPPPeJ7uz5mklNSZz0IOb9YgPEQquBxQJJC13uw==&uniplatform=NZKPT&language=CHS,"服务贸易创新发展试点政策作为推动绿色贸易体系构建的重要制度创新,是实现减污降碳协同增效的有效途径。本文以该试点政策作为准自然实验,基于2011—2022年中国271个地级市面板数据,构建多期双重差分模型系统评估其对城市减污降碳的影响及机制。研究发现,试点政策显著促进了城市减污降碳。机制分析显示,政策主要通过激发绿色创新、优化能源结构和推动产业升级三大路径发挥作用。异质性分析进一步揭示,政策效果在沿海地区、绿色金融和数字经济基础较好、服务业发展水平较高的城市更为突出;空间分析还表明,试点政策对地理邻近城市的污染减排具有明显的空间溢出效应。本研究为服务贸易政策的绿色绩效提供了扎实的经验证据,也为通过制度创新推动城市绿色低碳发展提供了理论依据和政策参考。",2025-11-03 14:29:38
新能源汽车试点政策能否助力城市减污降碳协同增效?,姜浩;邓峰,经济经纬,2025-10-30 09:25,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHYc11-EcSP-rPGXnv39cjAzfU3KsL9ACwKzGbi37gI0SvK31cE2xS1vUReHNn6XL-zfZdzAM44_ScMymedfu90LmwLJRzZwD-Xsy8vyDMD3lZW3wC7gflL7Fr-NBJh5phcfY5EXjA4FAApQhGYVsKFDzH-W-gZL48To4gwX7R3Tg==&uniplatform=NZKPT&language=CHS,"借助新能源汽车试点政策作为准自然实验,基于2004—2021年中国282个城市的面板数据,运用多期双重差分模型检验新能源汽车试点政策对城市减污降碳协同增效的影响。研究表明,新能源汽车试点政策促进了城市减污降碳协同增效,经过一系列检验后结论依然成立。异质性分析结果显示,在低火力发电结构的城市、高智慧交通水平的城市以及“酸雨或二氧化硫”控制区的城市中,新能源汽车试点政策的减污降碳协同增效作用更强。从传导机制来看,新能源汽车试点政策能够通过推动技术进步、优化能源结构以及引导绿色投资三条途径助力城市减污降碳协同增效。拓展性分析发现,新能源汽车试点政策对城市减污降碳协同增效具有明显的正向空间溢出效应,主要通过提升联合创新能力和吸引绿色投资者进入来实现。因此,应持续深化新能源汽车试点城市建设,借助新型清洁交通工具助力城市实现可持续发展的目标。",2025-11-03 14:29:38
创新双试点政策减污降碳协同效应研究——来自国家自主创新示范区和知识产权示范城市的证据检验,张梦雨;马晓钰,价格理论与实践,2025-10-27 15:16,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHYc11-EcSP-rPGXnv39cjAzfU3KsL9ACxDNKmiqE-2Ac7A2DZLiDiAe89sIcfIvCQw0GmiukC_XMBSwZhHlqVwgucSQ1WGhOuLmAL3zhxQIZyVEcHmoC0kPipRBKcXQmhIW46GwN2g26vkJgnvr8Om48MeO45Bvxe35qvGYfIl0Q==&uniplatform=NZKPT&language=CHS,创新政策对环境保护和低碳发展有着重要影响。本文基于2005—2022年我国277个地级市的面板数据，实证检验创新双试点政策——国家自主创新示范区和知识产权示范城市的减污降碳协同效应。研究发现：创新双试点政策能够实现减污降碳协同效应，且双试点的政策效应更强。异质性分析表明，创新双试点政策对资源型城市、中心城市和大城市的减污降碳协同效应明显高于非资源型城市、外围城市和中小城市。机制分析表明，创新双试点政策通过促进产业结构升级和创新人才集聚发挥减污降碳协同效应。空间溢出效应表明，创新双试点政策不仅能够实现本地的减污降碳协同效应，而且能够显著抑制“邻地”的碳排放和污染物排放。基于此，为有效缓解减污降碳双重环境压力，应持续推进国家自主创新示范区和知识产权示范城市发展政策，加快产业结构升级和创新人才集聚步伐，强化空间联动和协调发展。,2025-11-03 14:29:38
数字政府推动城市减污降碳扩绿增长协同发展研究,王军;曹玉睿,中国石油大学学报(社会科学版),2025-10-27 08:34,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaHYc11-EcSP-rPGXnv39cjAzfU3KsL9ACw0K4KBG7u05QoygQKfzMtLm5QxH6jYi98sbzMoMMxrZ1_vP-jGeOptnTfN0i9JbrYlScwpZ97yJiwraKMDV3-fjasp45qpnUkI7LBUm9wAU9HswMGHht__D-PYkbFQVzNNmp3Vb6yFIg==&uniplatform=NZKPT&language=CHS,如何依托数字政府建设缓解我国环境保护与经济增长之间的尖锐矛盾，是当前亟需深入探讨的课题。基于2012—2022年我国269个地级市数据，剖析数字政府推进城市减污降碳扩绿增长协同发展的影响效应、作用机制与调节效应。研究发现，数字政府显著促进了城市减污降碳扩绿增长多目标协同发展，其作用机制在于数字政府能够提升政府环境治理能力，推动企业数字化转型，促进公众环保参与；调节机制检验表明，在数字政府对减污降碳扩绿增长协同发展的作用机制中，制度环境与晋升激励均具有正向调节效应；异质性检验表明，在非资源型城市、数字产业集聚城市与低竞争水平城市，数字政府对环境治理的促进效应更显著。进一步分析发现，数字政府的多目标协同治理效能具有显著的短期性与空间扩散性。基于此，提出深化多元主体协同，营造良好数字环境，实施差异化数字治理，构建长效评估与跨域协同治理等政策建议。,2025-11-03 14:29:38
碳排放权交易试点政策是否能够引领企业低碳转型？——基于A股上市公司的经验证据,吴洪;王欢;王戈;王之扬,金融理论与实践,2025-10-24 14:24,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaG4NXCSRS9RMWIDQHFIJ_R4lWqLYP5TFli6DyQLpWKKqTj4aAwaE-2T_I_Uw1Fx8Fxm9uGjemvRgIQBHIpuY-0MNEtkpHpxJcz6XM9D974a5RVifFat4ttoyPYIrsfcQtqlXapsIgunKZSKfZPP6ysmHxAj8xicoOfW1fjV8bNxQg==&uniplatform=NZKPT&language=CHS,气候变暖等环境问题给人类生产生活造成了广泛影响，温室气体减排及发展方式低碳转型迫在眉睫。准确评估碳排放权交易试点政策（以下简称“碳交易政策”）的减排效果对实现“双碳”目标、促进经济社会绿色低碳转型发展具有重要的理论和现实意义。基于此，利用2008—2023年我国沪深两市A股上市公司面板数据，构建多时点双重差分模型探讨碳交易政策对企业低碳转型的影响。研究结果表明，碳交易政策能够促进企业低碳转型发展；机制分析表明，碳交易政策的实施能够通过促进企业绿色创新、提升外部市场对企业关注度及增加政府支持力度来激励企业低碳转型；进一步分析，从供应链角度来看，碳交易政策在供应链上有溢出效应，下游企业的低碳转型能够通过供应链传导至上游企业，且这种低碳转型能够提升企业所在供应链的韧性水平。此外，碳交易政策的实施能够发挥减污降碳的协同效应，碳交易政策的低碳转型效应在国有企业、较小规模企业、所处行业竞争度较低与地区环境规制较高的企业中表现更强。研究结论为“双碳”目标的实现、经济社会的全面低碳转型及绿色供应链的构建提供了一定的理论和实证依据。,2025-11-03 14:29:38
西安亮出减污降碳协同创新试点工作成绩单,高乐,西安日报,2025-10-24,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaG4NXCSRS9RMWIDQHFIJ_R4T6lKrk3CX1VHZLUTGepFIX8rY8BCAvoaQaHPy86PicsvqCHiH986txlHurkRpikdQF3hW92cNaB_ypDxi9fXjuooVMy4SKnFW_C3fOjSDk0d1AAEfMf1JhmTzTx_trqSQACf52p4HdkAI6wq0TVkrw==&uniplatform=NZKPT&language=CHS,主要污染物和碳排放双下降  生态环境质量持续改善,2025-11-03 14:29:38
在铁与火的淬炼中“涅槃重生”,帅政,内蒙古日报(汉),2025-10-23,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaG4NXCSRS9RMWIDQHFIJ_R4T6lKrk3CX1W5VDq_h9EdDRD-0OtvQ0G8yzfc_k1t8mwtJoA5oehBR8tylqiBS9PIyuf885Lw6ReXEINZBFwfTFcseUEjkZCJrQA6-Nxhdag7dN1WFhJc7cZHIW9aY-5TxLXqA1MoW8-Hvr_OdLqfrQ==&uniplatform=NZKPT&language=CHS,针对如何在铁合金生产过程中实现减污降碳协同增效的问题，乌兰察布市给出了发展循环经济和实施绿电替代，实现发展方式绿色转型的答案——,2025-11-03 14:29:38
减污降碳，全面绿色转型加快推进,洪叶;许愿;吴琼,新华日报,2025-10-22,https://kns.cnki.net/kcms2/article/abstract?v=-NKfxA6wmaG4NXCSRS9RMWIDQHFIJ_R4T6lKrk3CX1WXJk7Vyn21gt8S-TEiSrVgum2R55Go9JT1mQKIhpqnxH3ByDhPwAU7i76yZBXDzRQkTueLRyHC1SGjMMany5xfYtvd5CYG9aZd8j0lYSH72-IxdPTYHc4pvRcLQGZ1kb3sCTXPCRkSiA==&uniplatform=NZKPT&language=CHS,——江苏“十四五”经济社会发展综述之七,2025-11-03 14:29:38
